"title"||"url"||"description"||"lng"||"lat"||"city"||"street"||"zip"||"date_start"||"date_end"||"time_start"||"time_end"||"price"||"organizer"
"Loslassen - ein Weg zur Freiheit Selbstbestimmt handeln und leben"||"https://www.schroeder-haus.de/veranstaltungsdetails/02d404bc956a8479789461ff48cdcabd/?tx_adebisevents_list%5Bevent%5D=1454&tx_adebisevents_list%5Bcontroller%5D=Event&tx_adebisevents_list%5Baction%5D=show"||"30.6.18, Samstag, 10.00 bis 17.00 Uhr, 1x  Durch Verletzungen, Demütigungen und Grenzüberschreitungen in unserem Leben haben wir bestimmte Gedankenmuster gespeichert die auch mit teilweise heftigen negativen Emotionen gekoppelt sind. Unser Unterbewusstsein lässt uns so oft automatisch in ungesunde und blockierende Handlungen fallen die sich auch durch körperliche Schmerzen und Erschöpfung ausdrücken können. Dadurch fühlt sich das Leben für die meisten Menschen schwer und voller Lasten an. Vieles lastet auf ihren Schultern und drückt auf ihr Herz, sie können ihre Last nicht mehr loslassen denn sie verharren unbeweglich in ihren zerstörerischen Strukturen. Loslassen bedeutet offen zu sein für Neues. Nur wer die Faust öffnet kann nach Neuem greifen. Anhand von anschaulichen Beispielen und durch praktische Übungen werden Sie erkennen, dass Loslassen möglich, vor allem sinnvoll und heilend ist. * Bitte Schreibmaterial, Socken, bequeme Kleidung und für die Mittagspause eine Vesper mitbringen."||"9.93501"||"49.78972"||"Würzburg"||"Wilhelm-Schwinn-Platz 3"||"97070"||2018-06-30||NA||0.416666666666667||0.708333333333333||"Gebühr: € 40,-"||"R.-A.Schroeder-Haus"
"Nürnberg leuchtet"||"https://www.schroeder-haus.de/veranstaltungsdetails/76309e525a4c58e421863170ca4b1292/?tx_adebisevents_list%5Bevent%5D=1455&tx_adebisevents_list%5Bcontroller%5D=Event&tx_adebisevents_list%5Baction%5D=show"||"Tagesfahrt mit geführtem Stadtspaziergang durch Nürnberg  30.6.18, Samstag, 9.15 bis ca.19.30 Uhr  \"Nürnberg leuchtet unter den Städten, wie die Sonne unter den Gestirnen\" (Martin Luther). Die Geschichte und die Kunst der freien Reichsstadt Nürnberg sind das Thema dieser erlebnisreichen Tagesexkursion. Die erste ausführliche Besichtigung unseres Stadtrundgangs gilt der Lorenzkirche mit ihren prächtigen Kunstwerken, u.a. von Veit Stoß und Adam Kraft. Über das Heilig Geist Spital, ehemals Aufbewahrungsort der Reichskleinodien, kommen wir zum Hauptmarkt. Wir besuchen die Frauenkirche mit ihrem kostbaren Narthex und dem neu restaurierten Schönen Brunnen. Nach der Mittagspause führt unser Weg über die berühmte Fleischbrücke und den Trödelmarkt zum Henkersteg, wo der Nürnberger Scharfrichter wohnte, zum Unschlitthaus und zum Weinstadl, das in idyllischer Lage an der Pegnitz liegt.  Anmeldung bis 20.6. erforderlich. Bezahlung bei Anmeldung  Treffpunkt: 9.15 Uhr in der Bahnhofshalle zwischen Müller und DB Information."||"9.93501"||"49.78972"||"Würzburg"||"Wilhelm-Schwinn-Platz 3"||"97070"||2018-06-30||NA||0.385416666666667||0.8125||"Gebühr: € 35,- für Bahnfahrt und Führungen (Mittagessen nicht incl.)"||"R.-A.Schroeder-Haus"
"Tomaten - Die rote Verführung aus dem Garten"||"https://www.schroeder-haus.de/veranstaltungsdetails/45c263cdd0248fdb7575bccc35e58c5d/?tx_adebisevents_list%5Bevent%5D=1456&tx_adebisevents_list%5Bcontroller%5D=Event&tx_adebisevents_list%5Baction%5D=show"||"5.7.18, Donnerstag, 18.30 bis 21.30 Uhr, 1x  * Bitte zu dem Kurs eine Schürze mitbringen!"||"9.93501"||"49.78972"||"Würzburg"||"Wilhelm-Schwinn-Platz 3"||"97070"||2018-07-05||NA||0.770833333333333||0.895833333333333||"Gebühr: € 10,- + Materialgeld"||"R.-A.Schroeder-Haus"
"Bibel im Biergarten"||"https://www.schroeder-haus.de/veranstaltungsdetails/4a54858b0c117be0e13081372293c8c4/?tx_adebisevents_list%5Bevent%5D=1457&tx_adebisevents_list%5Bcontroller%5D=Event&tx_adebisevents_list%5Baction%5D=show"||"5.7.18, Donnerstag, 20.00 bis 22.00 Uhr,  1x  Wenn die Abende lang und sonnig sind und die Tage bis zum Urlaub gezählt werden, laden die Würzburger Biergärten ein, sich gemütlich niederzulassen. In lockerer Runde werden dort oft spannende tagesaktuelle, nicht zuletzt politische Themen verhandelt. Ethische Fragen werden nicht nur in der Politik, sondern auch in der Bibel verhandelt, z.B. die Kluft zwischen Armen und Reichen, die Integration von Fremden oder auch der verantwortliche Umgang mit Macht. In geselliger Runde im Biergarten besteht die Möglichkeit, sich über Gott und die Welt auszutauschen oder dabei das hoffentlich schöne Wetter zu genießen."||"9.9263851"||"49.7959859"||NA||"Alter Kranen"||"Mainkai"||2018-07-05||NA||0.833333333333333||0.916666666666667||"Gebühr: € 5,-"||"R.-A.Schroeder-Haus"
"Die italienische Sommerküche"||"https://www.schroeder-haus.de/veranstaltungsdetails/b7da3a9f4ac9b099b8492bc088112c67/?tx_adebisevents_list%5Bevent%5D=1458&tx_adebisevents_list%5Bcontroller%5D=Event&tx_adebisevents_list%5Baction%5D=show"||"11.7.18, Mittwoch, 18.30 bis 21.30 Uhr, 1x  * Bitte zu dem Kurs eine Schürze mitbringen!"||"9.93501"||"49.78972"||"Würzburg"||"Wilhelm-Schwinn-Platz 3"||"97070"||2018-07-11||NA||0.770833333333333||0.895833333333333||"Gebühr: € 10,- + Materialgeld"||"R.-A.Schroeder-Haus"
"Die Entwicklung der Psychotechnik von der Jahrhundertwende bis in die späten fünfziger Jahre"||"https://www.schroeder-haus.de/veranstaltungsdetails/a9dc19f2918a07b0d779eecd3331ccf2/?tx_adebisevents_list%5Bevent%5D=1459&tx_adebisevents_list%5Bcontroller%5D=Event&tx_adebisevents_list%5Baction%5D=show"||"Besuch der Ausstellung: \"Psychotechnik - eine junge Wissenschaft findet ihre Anwendung\"  11.7.18, Mittwoch, 10.00 bis 11.30 Uhr  Im Rahmen der Reihe \"Frauen-Frühschoppen\" -  ein offenes Angebot für Frauen jeden Alters, auch Männer sind herzlich willkommen! Im Anschluss besteht die Gelegenheit zum gemeinsamen Mittagessen.  Treffpunkt: Adolf-Würth-Zentrum für Geschichte dr Psychologie, Pleicherwall 1"||"9.9280136"||"49.7989355"||"Würzburg"||"Pleicherwall 10"||"97070"||2018-07-11||NA||0.416666666666667||0.479166666666667||"Gebühr: € 4,-"||"R.-A.Schroeder-Haus"
"Bibel im Biergarten"||"https://www.schroeder-haus.de/veranstaltungsdetails/82d5454bf2a6ea785f50240b626c9caa/?tx_adebisevents_list%5Bevent%5D=1460&tx_adebisevents_list%5Bcontroller%5D=Event&tx_adebisevents_list%5Baction%5D=show"||"12.7.18, Donnerstag, 20.00 bis 22.00 Uhr,  1x  Wenn die Abende lang und sonnig sind und die Tage bis zum Urlaub gezählt werden, laden die Würzburger Biergärten ein, sich gemütlich niederzulassen. In lockerer Runde werden dort oft spannende tagesaktuelle, nicht zuletzt politische Themen verhandelt. Ethische Fragen werden nicht nur in der Politik, sondern auch in der Bibel verhandelt, z.B. die Kluft zwischen Armen und Reichen, die Integration von Fremden oder auch der verantwortliche Umgang mit Macht. In geselliger Runde im Biergarten besteht die Möglichkeit, sich über Gott und die Welt auszutauschen oder dabei das hoffentlich schöne Wetter zu genießen."||"9.9263851"||"49.7959859"||NA||"Alter Kranen"||"Mainkai"||2018-07-12||NA||0.833333333333333||0.916666666666667||"Gebühr: € 5,-"||"R.-A.Schroeder-Haus"
"Marbach am Neckar:  Auf den Spuren Rudolf Alexander Schröders"||"https://www.schroeder-haus.de/veranstaltungsdetails/edb3c8ea157e102017152e3ee1c8b1d7/?tx_adebisevents_list%5Bevent%5D=1461&tx_adebisevents_list%5Bcontroller%5D=Event&tx_adebisevents_list%5Baction%5D=show"||"14.7.18, Samstag, 8.00 bis ca.19.00 Uhr  Tagesfahrt des Förderkreises Hoch über dem Neckar thront  die Schillerstadt Marbach am Neckar, eine der ältesten Landstädte in Württemberg im Stil des 18. Jahrhunderts, die insgesamt unter Denkmalschutz steht.  International angesehen ist sie als Ort der Literatur mit dem Deutschen Literaturarchiv und den Literaturmuseen auf der Schillerhöhe, denen wir einen Besuch abstatten. Am Vormittag erkunden wir mit einer Führung in der modernen Handschriftenabteilung des Literaturarchivs das Leben Rudolf Alexander Schröders, dessen Nachlass hier aufbewahrt wird.  Von der Schillerhöhe aus hat man einen traumhaften Blick über den Neckar. Am Nachmittag bestaunen wir die Sehenswürdigkeiten und genießen das Flair der hervorragend erhaltenen mittelalterlichen Stadt. Es bleibt auch Zeit für Kaffee und Kuchen, bevor wir uns am späten Nachmittag vom Neckar verabschieden und an den Main zurückkehren.   Treffpunkt: 8.00 Uhr am Taxistand am Hauptbahnhof Anmeldung bis 30.6. erforderlich. Bezahlung bei Anmeldung In Kooperation mit Busreisen Greser  Treffpunkt: 8.00 Uhr am Taxistand am Hauptbahnhof"||"9.93501"||"49.78972"||"Würzburg"||"Wilhelm-Schwinn-Platz 3"||"97070"||2018-07-14||NA||0.333333333333333||0.791666666666667||"Gebühr: € 49,- (incl. Eintritt in die Museen und Führungen)"||"R.-A.Schroeder-Haus"
"Cucina Italiana: Antipasti - Pasta - Dolce"||"https://www.schroeder-haus.de/veranstaltungsdetails/069282d3a398176d530186d036dd4f22/?tx_adebisevents_list%5Bevent%5D=1462&tx_adebisevents_list%5Bcontroller%5D=Event&tx_adebisevents_list%5Baction%5D=show"||"17.7.18, Dienstag, 18.30 bis 21.30 Uhr, 1x  * Bitte zu dem Kurs eine Schürze mitbringen!"||"9.93501"||"49.78972"||"Würzburg"||"Wilhelm-Schwinn-Platz 3"||"97070"||2018-07-17||NA||0.770833333333333||0.895833333333333||"Gebühr: € 10,- + Materialgeld"||"R.-A.Schroeder-Haus"
"Sommersalate - frisch und knackig"||"https://www.schroeder-haus.de/veranstaltungsdetails/861155a7ac9adef4c441486b5c0ccf65/?tx_adebisevents_list%5Bevent%5D=1463&tx_adebisevents_list%5Bcontroller%5D=Event&tx_adebisevents_list%5Baction%5D=show"||"19.7.18, Donnerstag, 18.30 bis 21.30 Uhr, 1x  * Bitte zu dem Kurs eine Schürze mitbringen!"||"9.93501"||"49.78972"||"Würzburg"||"Wilhelm-Schwinn-Platz 3"||"97070"||2018-07-19||NA||0.770833333333333||0.895833333333333||"Gebühr: € 10,- + Materialgeld"||"R.-A.Schroeder-Haus"
"Samstagspilgern - Lebendiges Wasser"||"https://www.schroeder-haus.de/veranstaltungsdetails/3a67c84b5f63729033b375c9cb855f7d/?tx_adebisevents_list%5Bevent%5D=1464&tx_adebisevents_list%5Bcontroller%5D=Event&tx_adebisevents_list%5Baction%5D=show"||"21.7.18, Samstag, 9.00 bis ca.15.00 Uhr  Pilgern heißt gehen mit Körper, Seele und Geist. Das Gehen gibt den Rhythmus vor, der hilft zur Ruhe zu kommen, Gelegenheit bietet innezuhalten und neue Erfahrungen mit uns, mit anderen und mit Gott zu machen.  Das Thema  \"Lebendiges Wasser\" aus der Jahreslosung 2018 ist das Motto unseres Pilgertags. Wir pilgern an  den zwei Bächen Pleichach und Kürnach entlang, auf ruhigen und sicheren Wegen abseits der Straßen. Start ist an der Bushaltestelle Altenberg in Versbach. Mit dem Bus, der von den Teilnehmenden selbst bezahlt wird, geht es von Kürnach wieder zurück nach Würzburg. Die Gehzeit beträgt ca. vier Stunden mit Pausen. Als Ausrüstung bitte an festes Schuhwerk, ggf. Wanderstöcke, Brotzeit und Getränke denken. Anmeldung bis 16.7. erforderlich.  Treffpunkt: 09:00 Uhr Bushaltestelle Altenberg in Versbach (ein Bus der Linie 450 fährt Hauptbahnhof Würzburg um 08:40 Uhr)"||"9.93501"||"49.78972"||"Würzburg"||"Wilhelm-Schwinn-Platz 3"||"97070"||2018-07-21||NA||0.375||0.625||"Gebühr: ohne"||"R.-A.Schroeder-Haus"
"Zauber des alten Persiens"||"https://www.schroeder-haus.de/veranstaltungsdetails/c8d335cec6462065ce292d8bc4ba524d/?tx_adebisevents_list%5Bevent%5D=1465&tx_adebisevents_list%5Bcontroller%5D=Event&tx_adebisevents_list%5Baction%5D=show"||"Studienreise  7.9., Freitag - 16.9.18, Sonntag  Eine Reise in den Iran ist ein Streifzug durch nahezu fünftausend Jahre Kultur- und Weltgeschichte. Kulturschätze höchster Güte finden sich zahlreich in diesem Land: z.B. bedeutende archäologische Funde, die beeindruckende Palastanlage des antiken Persepolis oder die Feuertempel der Zarathustra-Anhänger, die Paradiesgärten von Shiraz, die Windtürme von Yazd und die faszinierenden Bauwerke der klassisch-islamischen Zeit. In der Vank-Kathedrale, einer armenisch-apostolischen Kirche in Isfahan, treffen christliche und muslimische Stilelemente auf einander. In Teheran besuchen wir die Christuskirche und kommen ins Gespräch mit Mitgliedern der Evangelischen Gemeinde Deutscher Sprache im Iran, bevor es nach erfüllten und erlebnisreichen Tagen wieder zurück nach Deutschland geht. Ein Flyer mit dem Reiseprogramm und dem Formular für die Reiseanmeldung liegt im Schröder-Haus aus. Am Donnerstag, den 19.4. um 19.00 Uhr findet ein Informationsabend zum Iran statt, zu dem wir herzlich einladen. Reisebegleitung: Achim Fischer Führungen vor Ort durch einheimische Gästeführer Reiseveranstalter: StudyTours Anmeldeschluss: 31.5.2018"||"9.93501"||"49.78972"||"Würzburg"||"Wilhelm-Schwinn-Platz 3"||"97070"||2018-09-07||2018-09-16||NA||NA||"Gebühr: Reisepreis pro Person im DZ: € 2150,-  bei 15 Teilnehmern, Reiseleistungen laut Flyer, EZ-Zuschlag: € 460,-. Bei abweichender Teilnehmerzahl sind Änderungen möglich."||"R.-A.Schroeder-Haus"
"Treffen der Vertrauensleute im Dekanat"||"https://www.schroeder-haus.de/veranstaltungsdetails/1b1429ac5f8738a0a383b354ecccf016/?tx_adebisevents_list%5Bevent%5D=1466&tx_adebisevents_list%5Bcontroller%5D=Event&tx_adebisevents_list%5Baction%5D=show"||"Vorankündigung  22.9.18, Samstag, 9.00 bis 13.00 Uhr  Vor der Wahl der neuen Kirchenvorstände sind die Vertrauensleute im Dekanat zu einem Vernetzungstreffen eingeladen. Informationen und Erfahrungsaustausch rund um die Arbeit im Kirchenvorstand und Entwicklungen im Dekanat stehen auf dem Programm. Anmeldung erforderlich. Gesonderte Einladung ergeht."||"9.93501"||"49.78972"||"Würzburg"||"Wilhelm-Schwinn-Platz 3"||"97070"||2018-09-22||NA||0.375||0.541666666666667||""||"R.-A.Schroeder-Haus"
"Atemberaubende Kunst und verzaubernde Rosenpracht"||"https://www.schroeder-haus.de/veranstaltungsdetails/9c643f76ff12f476a0aa5f813ad3c591/?tx_adebisevents_list%5Bevent%5D=1446&tx_adebisevents_list%5Bcontroller%5D=Event&tx_adebisevents_list%5Baction%5D=show"||"Tagesfahrt nach Bad Frankenhausen zur \"Sixtina des Nordens\" und zum Rosarium in Bad Sangershausen  17.6.18, Sonntag, 8.00 bis ca.20.00 Uhr  Unsere Tagesfahrt führt uns nach Bad Frankenhausen, zum Fuße des Kyffhäusers, in das berühmte Panorama Museum. Hier besichtigen wir - mit Führung - das gigantische Panoramabild  des Leipziger Malers Werner Tübke (vollendet 1987), eines der größten Gemälde der Welt. Angelehnt an den Stil Cranachs und Dürers schuf Tübke ein atemberaubendes Abbild der Renaissancezeit, in dessen Mittelpunkt die letzte Schlacht des Bauernkrieges bei Frankenhausen steht. Nach dem Mittagessen besuchen wir in Bad Sangershausen das Rosarium, die weltgrößte Rosensammlung mit ihren mehr als 8000 Rosensorten.  Anmeldung bis 01.06. erforderlich. Bezahlung bei Anmeldung In Kooperation mit Busreisen Greser  Treffpunkt: 8.00 Uhr am Taxistand am Hauptbahnhof"||"9.93501"||"49.78972"||"Würzburg"||"Wilhelm-Schwinn-Platz 3"||"97070"||2018-06-17||NA||0.333333333333333||0.833333333333333||"Gebühr: € 59,- (incl. Eintritte und Führungen im Museum und Rosarium)"||"R.-A.Schroeder-Haus"
"KlangBad - Die heilende Kraft von Klängen"||"https://www.schroeder-haus.de/veranstaltungsdetails/67c2788f80a9ed2e844177dbbd14816b/?tx_adebisevents_list%5Bevent%5D=1444&tx_adebisevents_list%5Bcontroller%5D=Event&tx_adebisevents_list%5Baction%5D=show"||"15.6.18, Freitag, 19.30 bis 21.00 Uhr, 1x  An diesem Abend lassen wir uns von Klängen und Gesängen berühren und einhüllen. Aus einem entspannten Zustand heraus lauschen wir den heilenden Klängen verschiedener obertonreicher Instrumente (wie z.B. Monochord, Shrutibox, Klangschalen, Koshis, Didgeridoo) und lassen uns von ihnen auf eine Reise nach innen mitnehmen. In der darauf folgenden Stille können die Klänge weiter schwingen und sich tiefer in uns verankern. * Bitte bequeme Kleidung, Socken und Decke mitbringen."||"9.93501"||"49.78972"||"Würzburg"||"Wilhelm-Schwinn-Platz 3"||"97070"||2018-06-15||NA||0.8125||0.875||"Gebühr: € 15,-"||"R.-A.Schroeder-Haus"
"Walking Dinner mit dem Würzburger Nachtwächter"||"https://www.schroeder-haus.de/veranstaltungsdetails/4ac365a7cefabf7a3a88ab4ee0ef0d37/?tx_adebisevents_list%5Bevent%5D=1445&tx_adebisevents_list%5Bcontroller%5D=Event&tx_adebisevents_list%5Baction%5D=show"||"15.6.18, Freitag, 19.00 bis ca. 21.30 Uhr  Wie gut kennen Sie die Gässli und Gschichtli von Würzburg, die Ess- und Trinkkultur der Franken und die traditionellen Gasthäuser der Stadt? Begeben Sie sich mit dem Würzburger Nachtwächter auf einen kulinarisch-informativen Streifzug durch die fränkische Küche. Sie lernen - gemäß dem Motto: \"Der Franke ist, was er frisst\" - fünf historische Gasthäuser mit ihren Geschichten kennen und genießen traditionell fränkische Speisen, zu der eine Mostsuppe, die Bratwurst vom Holzkohlengrill, ein Hochzeitsessen bzw. Kloß mit Soß und Apfelküchle mit Vanillesoße gehören. Auch ein guter Schoppen darf natürlich nicht fehlen, wenn Ihnen der Nachwächter humorvoll und kurzweilig Gschichtchen aus dem Städtle erzählt.  Ab 10 Teilnehmenden kann eine Ermäßigung für Kinder bis 15 J. angeboten werden, bitte fragen Sie bei der Anmeldung nach.  Leitung: Der Würzburger Nachtwächter Anmeldung erforderlich bis 7.6. Bezahlung bei Anmeldung  Treffpunkt: Vierröhrenbrunnen vor dem Rathaus"||"9.9284337"||"49.7930826"||"Grafeneckart"||"Vierröhrenbrunnen"||"Beim"||2018-06-15||NA||0.791666666666667||0.895833333333333||"Gebühr: € 45,-- (incl. Verköstigung)"||"R.-A.Schroeder-Haus"
"Schnelle Sommerkuchen vom Blech"||"https://www.schroeder-haus.de/veranstaltungsdetails/39e8f3e573559a54fe854a2a6833b928/?tx_adebisevents_list%5Bevent%5D=1442&tx_adebisevents_list%5Bcontroller%5D=Event&tx_adebisevents_list%5Baction%5D=show"||"14.6.18, Donnerstag, 18.30 bis 21.30 Uhr, 1x  * Bitte zu dem Kurs eine Schürze mitbringen!"||"9.93501"||"49.78972"||"Würzburg"||"Wilhelm-Schwinn-Platz 3"||"97070"||2018-06-14||NA||0.770833333333333||0.895833333333333||"Gebühr: € 10,- + Materialgeld"||"R.-A.Schroeder-Haus"
"Babymassage - Kraft der liebevollen Berührung"||"https://www.schroeder-haus.de/veranstaltungsdetails/a58f4428ebd9fa4f0599876e0f6f69c3/?tx_adebisevents_list%5Bevent%5D=1443&tx_adebisevents_list%5Bcontroller%5D=Event&tx_adebisevents_list%5Baction%5D=show"||"Für Eltern und Babys ab der 6. Woche bis zum Krabbelalter  14.6. - 5.7.18, donnerstags, 9.30 bis 10.30 Uhr, 4x  Zahlreiche wissenschaftliche Studien belegen, dass regelmäßiges Massieren von Babys einen positiven Einfluss auf deren psychologische und neurologische Entwicklung hat. So wirkt es sich u.a. günstig auf Körperfunktionen aus oder kann den Umgang mit Koliken und Blähungen erleichtern. Der intensive Kontakt fördert zudem die Bindung zwischen Eltern und Baby und erleichtert den Umgang miteinander. Der Kurs bietet Ihnen die Möglichkeit, sich in entspannter Atmosphäre bewusst Zeit für Ihr Kind zu nehmen. * Bitte ein Handtuch und eine Decke mitbringen."||"9.93501"||"49.78972"||"Würzburg"||"Wilhelm-Schwinn-Platz 3"||"97070"||2018-06-14||2018-07-05||0.395833333333333||0.4375||"Gebühr: € 50,- inkl. Kursmaterial und Massageöl"||"R.-A.Schroeder-Haus"
